const	BattleTowerPokemonData	BTPD100[]={
		{WAZANO_BABURUKOUSEN,WAZANO_MARUKUNARU,WAZANO_AMAGOI,WAZANO_AIANTEERU,},
		0x20,17,0,
	},
	{
		MONSNO_REAKOIRU,
		26,0x01,
		{WAZANO_DENKISYOKKU,WAZANO_TYOUONPA,WAZANO_HURASSYU,WAZANO_IYANAOTO,},
		0x08,23,0,
	},
	{
		MONSNO_KIBANIA,
		1,0x01,
		{WAZANO_KAMITUKU,WAZANO_IKARI,WAZANO_KOWAIKAO,WAZANO_NIRAMITUKERU,},
		0x02,24,0,
	},
	{
		MONSNO_KAKUREON,
		7,0x03,
		{WAZANO_DOROBOU,WAZANO_SITADENAMERU,WAZANO_SIMETUKERU,WAZANO_MIDAREHIKKAKI,},
		0x04,13,0,
	},
	{
		MONSNO_KYUUKON,
		38,0x02,
		{WAZANO_HINOKO,WAZANO_AYASIIHIKARI,WAZANO_HONOONOUZU,WAZANO_SINPINOMAMORI,},
		0x10,1,0,
	},
	{
		MONSNO_RAITYUU,
		7,0x42,
		{WAZANO_DENGEKIHA,WAZANO_NAKIGOE,WAZANO_KAGEBUNSIN,WAZANO_HIKARINOKABE,},
		0x04,14,0,
	},
	{
		MONSNO_TODOGURAA,
		29,0x01,
		{WAZANO_AISUBOORU,WAZANO_MIZUDEPPOU,WAZANO_ANKOORU,WAZANO_ARARE,},
		0x12,9,0,
	},
	{
		MONSNO_GOROON,
		5,0x01,
		{WAZANO_IWAOTOSI,WAZANO_DOROASOBI,WAZANO_SUNAARASI,WAZANO_GANSEKIHUUZI,},
		0x03,21,0,
	},
	{
		MONSNO_KAGEBOUZU,
		31,0x03,
		{WAZANO_NAITOHEDDO,WAZANO_ONIBI,WAZANO_IYANAOTO,WAZANO_HATAKIOTOSU,},
		0x10,17,0,
	},
	{
		MONSNO_RABUKASU,
		2,0x0a,
		{WAZANO_MEROMERO,WAZANO_ZITABATA,WAZANO_TENSINOKISSU,WAZANO_MIZUNOHADOU,},
		0x10,3,0,
	},
	{
		MONSNO_RANTAAN,
		12,0x0a,
		{WAZANO_DENZIHA,WAZANO_TYOUONPA,WAZANO_MIZUDEPPOU,WAZANO_SUPAAKU,},
		0x11,5,0,
	},
	{
		MONSNO_SANIIGO,
		2,0x0a,
		{WAZANO_MIRAAKOOTO,WAZANO_AWA,WAZANO_KATAKUNARU,WAZANO_HIKARINOKABE,},
		0x24,10,0,
	},
	{
		MONSNO_HOERUKO,
		2,0x05,
		{WAZANO_NAMINORI,WAZANO_HOERU,WAZANO_NAKIGOE,WAZANO_SIROIKIRI,},
		0x1a,22,0,
	},
	{
		MONSNO_SAIDON,
		6,0x05,
		{WAZANO_TOSSIN,WAZANO_KOWAIKAO,WAZANO_SIPPOWOHURU,WAZANO_HOERU,},
		0x03,0,0,
	},
	{
		MONSNO_DOODORIO,
		23,0x05,
		{WAZANO_MIDAREDUKI,WAZANO_OIUTI,WAZANO_TUBAMEGAESI,WAZANO_KOUSOKUIDOU,},
		0x0a,0,0,
	},
	{
		MONSNO_GORUDAKKU,
		24,0x05,
		{WAZANO_MIDAREHIKKAKI,WAZANO_SIPPOWOHURU,WAZANO_KANASIBARI,WAZANO_ZIKOANZI,},
		0x02,7,0,
	},
	{
		MONSNO_KIREIHANA,
		8,0x0a,
		{WAZANO_GIGADOREIN,WAZANO_DOKUNOKONA,WAZANO_SIBIREGONA,WAZANO_YOUKAIEKI,},
		0x10,5,0,
	},
	{
		MONSNO_TOROPIUSU,
		1,0x05,
		{WAZANO_HUMITUKE,WAZANO_HAPPAKATTAA,WAZANO_KAZEOKOSI,WAZANO_KOUGOUSEI,},
		0x02,0,0,
	},
	{
		MONSNO_YAMIRAMI,
		31,0x0a,
		{WAZANO_NAITOHEDDO,WAZANO_NEKODAMASI,WAZANO_ZIKOANZI,WAZANO_MIKIRI,},
		0x08,0,0,
	},
	{
		MONSNO_MARUMAIN,
		6,0x03,
		{WAZANO_SONIKKUBUUMU,WAZANO_IYANAOTO,WAZANO_SUPAAKU,WAZANO_ZIBAKU,},
		0x14,24,0,
	},
	{
		MONSNO_DOKUKURAGE,
		28,0x01,
		{WAZANO_YOUKAIEKI,WAZANO_MIZUNOHADOU,WAZANO_BARIAA,WAZANO_MAKITUKU,},
		0x08,11,0,
	},
	{
		MONSNO_NENDOORU,
		40,0x05,
		{WAZANO_GENSINOTIKARA,WAZANO_DOROKAKE,WAZANO_KOUSOKUSUPIN,WAZANO_NENRIKI,},
		0x0c,17,0,
	},
	{
		MONSNO_BUUPIGGU,
		2,0x0a,
		{WAZANO_SAIKEKOUSEN,WAZANO_ZIKOANZI,WAZANO_TOBIHANERU,WAZANO_MAZIKKUKOOTO,},
		0x14,4,0,
	},
	{
		MONSNO_SIZARIGAA,
		37,0x05,
		{WAZANO_KURABUHANMAA,WAZANO_BABURUKOUSEN,WAZANO_KAWARAWARI,WAZANO_MAMORU,},
		0x02,20,0,
	},
	{
		MONSNO_HABUNEEKU,
		28,0x01,
		{WAZANO_POIZUNTEERU,WAZANO_HEBINIRAMI,WAZANO_MAKITUKU,WAZANO_DOROBOU,},
		0x24,23,0,
	},
	{
		MONSNO_ZANGUUSU,
		2,0x05,
		{WAZANO_RENZOKUGIRI,WAZANO_NIRAMITUKERU,WAZANO_DENKOUSEKKA,WAZANO_MIKIRI,},
		0x0a,0,0,
	},
	{
		MONSNO_TIRUTARISU,
		43,0x03,
		{WAZANO_RYUUNOIBUKI,WAZANO_UTAU,WAZANO_SINPINOMAMORI,WAZANO_TOSSIN,},
		0x0a,0,0,
	},
	{
		MONSNO_ROZERIA,
		4,0x0a,
		{WAZANO_YADORIGINOTANE,WAZANO_MEGADOREIN,WAZANO_SEITYOU,WAZANO_SIBIREGONA,},
		0x30,4,0,
	},
	{
		MONSNO_BARUBIITO,
		32,0x09,
		{WAZANO_SIGUNARUBIIMU,WAZANO_AYASIIHIKARI,WAZANO_KAGEBUNSIN,WAZANO_HIKARINOKABE,},
		0x24,0,0,
	},
	{
		MONSNO_IRUMIIZE,
		2,0x09,
		{WAZANO_AMAERU,WAZANO_ANKOORU,WAZANO_SOORAABIIMU,WAZANO_MEROMERO,},
		0x18,17,0,
	},
	{
		MONSNO_RAIBORUTO,
		17,0x03,
		{WAZANO_KAMITUKU,WAZANO_TOOBOE,WAZANO_DENZIHA,WAZANO_SUPAAKU,},
		0x18,12,0,
	},
	{
		MONSNO_KUTIITO,
		2,0x0a,
		{WAZANO_KAMIKUDAKU,WAZANO_TEPPEKI,WAZANO_ITYAMON,WAZANO_SUNAARASI,},
		0x06,19,0,
	},
	{
		MONSNO_HARITEYAMA,
		1,0x05,
		{WAZANO_TUPPARI,WAZANO_NEKODAMASI,WAZANO_HUKITOBASI,WAZANO_KISIKAISEI,},
		0x02,21,0,
	},
	{
		MONSNO_EAAMUDO,
		36,0x01,
		{WAZANO_HAGANENOTUBASA,WAZANO_KOUSOKUIDOU,WAZANO_TYOUHATU,WAZANO_SORAWOTOBU,},
		0x18,14,0,
	},
	{
		MONSNO_KOOTASU,
		39,0x03,
		{WAZANO_HONOONOUZU,WAZANO_ENMAKU,WAZANO_NOSIKAKARI,WAZANO_DOWASURE,},
		0x03,16,0,
	},
	{
		MONSNO_GYARADOSU,
		7,0x05,
		{WAZANO_ABARERU,WAZANO_RYUUNOIKARI,WAZANO_TATUMAKI,WAZANO_HAIDOROPONPU,},
		0x13,24,0,
	},
	{
		MONSNO_GURAENA,
		2,0x05,
		{WAZANO_KAMIKUDAKU,WAZANO_TOOBOE,WAZANO_AIANTEERU,WAZANO_ITYAMON,},
		0x10,24,0,
	},
	{
		MONSNO_MASSUGUMA,
		12,0x06,
		{WAZANO_KIRISAKU,WAZANO_MEROMERO,WAZANO_DENGEKIHA,WAZANO_DOKUDOKU,},
		0x02,0,0,
	},
	{
		MONSNO_AMEMOOSU,
		2,0x0a,
		{WAZANO_DOKUDOKU,WAZANO_SIBIREGONA,WAZANO_NIHONBARE,WAZANO_SOORAABIIMU,},
		0x06,9,0,
	},
	{
		MONSNO_ZYUKAIN,
		41,0x06,
		{WAZANO_TANEMASINGAN,WAZANO_TATAKITUKERU,WAZANO_IYANAOTO,WAZANO_MIKIRI,},
		0x18,7,0,
	},
	{
		MONSNO_BASYAAMO,
		1,0x06,
		{WAZANO_NIDOGERI,WAZANO_KAENHOUSYA,WAZANO_KAGEBUNSIN,WAZANO_HOERU,},
		0x12,21,0,
	},
	{
		MONSNO_RAGURAAZI,
		2,0x49,
		{WAZANO_NAMINORI,WAZANO_MADDOSYOTTO,WAZANO_DOROASOBI,WAZANO_AMAGOI,},
		0x30,0,0,
	},
	{
		MONSNO_BOOMANDA,
		43,0x49,
		{WAZANO_RYUUNOIBUKI,WAZANO_SORAWOTOBU,WAZANO_DOKUDOKU,WAZANO_KARAGENKI,},
		0x23,20,0,
	},
	{
		MONSNO_KINGUDORA,
		7,0x49,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_ENMAKU,WAZANO_AMAGOI,},
		0x18,12,0,
	},
	{
		MONSNO_SANIIGO,
		7,0x03,
		{WAZANO_GENSINOTIKARA,WAZANO_MIRAAKOOTO,WAZANO_SINPINOMAMORI,WAZANO_RIHUREKUTAA,},
		0x24,5,0,
	},
	{
		MONSNO_SAIDON,
		6,0x41,
		{WAZANO_ZISIN,WAZANO_AIANTEERU,WAZANO_HOERU,WAZANO_10MANBORUTO,},
		0x03,11,0,
	},
	{
		MONSNO_HERAKUROSU,
		1,0x06,
		{WAZANO_MEGAHOON,WAZANO_KAUNTAA,WAZANO_MAMORU,WAZANO_NIRAMITUKERU,},
		0x0a,21,0,
	},
	{
		MONSNO_KIRINRIKI,
		41,0x09,
		{WAZANO_SAIKOKINESISU,WAZANO_KAMIKUDAKU,WAZANO_BATONTATTI,WAZANO_KOUSOKUIDOU,},
		0x19,3,0,
	},
	{
		MONSNO_NEITHIO,
		41,0x09,
		{WAZANO_SAIKOKINESISU,WAZANO_SORAWOTOBU,WAZANO_AYASIIHIKARI,WAZANO_DOKUDOKU,},
		0x08,18,0,
	},
	{
		MONSNO_DOODORIO,
		23,0x03,
		{WAZANO_DORIRUKUTIBASI,WAZANO_TORAIATAKKU,WAZANO_OIUTI,WAZANO_ITYAMON,},
		0x0a,12,0,
	},
	{
		MONSNO_RAHURESIA,
		2,0x89,
		{WAZANO_DOKUNOKONA,WAZANO_SIBIREGONA,WAZANO_NEMURIGONA,WAZANO_HANABIRANOMAI,},
		0x15,15,0,
	},
	{
		MONSNO_TYAAREMU,
		35,0x06,
		{WAZANO_KIAIPANTI,WAZANO_HIKARINOKABE,WAZANO_BIRUDOAPPU,WAZANO_SAIKOKINESISU,},
		0x1c,13,0,
	},
	{
		MONSNO_ABUSORU,
		2,0x06,
		{WAZANO_KIRISAKU,WAZANO_TURUGINOMAI,WAZANO_KAGEBUNSIN,WAZANO_MEROMERO,},
		0x09,0,0,
	},
	{
		MONSNO_SAMAYOORU,
		31,0x4b,
		{WAZANO_AYASIIHIKARI,WAZANO_ONIBI,WAZANO_NAITOHEDDO,WAZANO_KANASIBARI,},
		0x24,9,0,
	},
	{
		MONSNO_KAGEBOUZU,
		31,0x43,
		{WAZANO_ONNEN,WAZANO_SYADOOBOORU,WAZANO_NOROI,WAZANO_HATAKIOTOSU,},
		0x10,8,0,
	},
	{
		MONSNO_POWARUN,
		41,0x82,
		{WAZANO_WHEZAABOORU,WAZANO_ARARE,WAZANO_NIHONBARE,WAZANO_AMAGOI,},
		0x08,15,0,
	},
	{
		MONSNO_MIROKAROSU,
		43,0x02,
		{WAZANO_NAMINORI,WAZANO_RIHURESSYU,WAZANO_ZIKOSAISEI,WAZANO_AMAGOI,},
		0x30,3,0,
	},
	{
		MONSNO_SAMEHADAA,
		7,0x01,
		{WAZANO_KAMIKUDAKU,WAZANO_KIAIDAME,WAZANO_KOWAIKAO,WAZANO_IYANAOTO,},
		0x0a,9,0,
	},
	{
		MONSNO_HURAIGON,
		12,0x06,
		{WAZANO_ZISIN,WAZANO_SUNAKAKE,WAZANO_RYUUNOIBUKI,WAZANO_SUNAZIGOKU,},
		0x0a,4,0,
	},
	{
		MONSNO_NAKKURAA,
		2,0x09,
		{WAZANO_DOKUDOKU,WAZANO_SUNAZIGOKU,WAZANO_KAMIKUDAKU,WAZANO_KAGEBUNSIN,},
		0x02,6,0,
	},
	{
		MONSNO_RUNATOON,
		32,0x43,
		{WAZANO_SAIKOKINESISU,WAZANO_IWAOTOSI,WAZANO_SAIMINZYUTU,WAZANO_HIKARINOKABE,},
		0x30,0,0,
	},
	{
		MONSNO_SORUROKKU,
		39,0x43,
		{WAZANO_SOORAABIIMU,WAZANO_NIHONBARE,WAZANO_KOSUMOPAWAA,WAZANO_MEISOU,},
		0x24,17,0,
	},
	{
		MONSNO_YAZIRON,
		2,0x43,
		{WAZANO_SAIKOKINESISU,WAZANO_ZISIN,WAZANO_RIHUREKUTAA,WAZANO_ZIBAKU,},
		0x11,18,0,
	},
	{
		MONSNO_SIZARIGAA,
		24,0x06,
		{WAZANO_KURABUHANMAA,WAZANO_NAMINORI,WAZANO_MAMORU,WAZANO_KAWARAWARI,},
		0x21,19,0,
	},
	{
		MONSNO_NAMAZUN,
		30,0x06,
		{WAZANO_ZISIN,WAZANO_KUSUGURU,WAZANO_DOWASURE,WAZANO_NAMINORI,},
		0x09,0,0,
	},
	{
		MONSNO_HABUNEEKU,
		2,0x09,
		{WAZANO_POIZUNTEERU,WAZANO_KAMIKUDAKU,WAZANO_GIGADOREIN,WAZANO_KUROIKIRI,},
		0x12,7,0,
	},
	{
		MONSNO_MAGUKARUGO,
		32,0x89,
		{WAZANO_KAENHOUSYA,WAZANO_HIKARINOKABE,WAZANO_DOWASURE,WAZANO_IWANADARE,},
		0x02,22,0,
	},
	{
		MONSNO_KAIRIKII,
		14,0x09,
		{WAZANO_KARATETYOPPU,WAZANO_TIKYUUNAGE,WAZANO_KAWARAWARI,WAZANO_KETAGURI,},
		0x03,21,0,
	},
	{
		MONSNO_MARUNOOMU,
		2,0x86,
		{WAZANO_AKUBI,WAZANO_MIZUNOHADOU,WAZANO_SYADOOBOORU,WAZANO_HEDOROBAKUDAN,},
		0x25,4,0,
	},
	{
		MONSNO_ZYUKAIN,
		2,0x0c,
		{WAZANO_RIIHUBUREEDO,WAZANO_GIGADOREIN,WAZANO_RENZOKUGIRI,WAZANO_MIKIRI,},
		0x19,14,0,
	},
	{
		MONSNO_BASYAAMO,
		34,0x0c,
		{WAZANO_BUREIZUKIKKU,WAZANO_KAENHOUSYA,WAZANO_MAMORU,WAZANO_DENKOUSEKKA,},
		0x1a,6,0,
	},
	{
		MONSNO_RAGURAAZI,
		32,0x4c,
		{WAZANO_NAMINORI,WAZANO_MADDOSYOTTO,WAZANO_DOROKAKE,WAZANO_KAGEBUNSIN,},
		0x19,0,0,
	},
	{
		MONSNO_GURAENA,
		13,0x04,
		{WAZANO_KAMIKUDAKU,WAZANO_TOOBOE,WAZANO_IBARU,WAZANO_SYADOOBOORU,},
		0x03,20,0,
	},
	{
		MONSNO_MASSUGUMA,
		4,0x04,
		{WAZANO_KIRISAKU,WAZANO_NEMURU,WAZANO_HARADAIKO,WAZANO_10MANBORUTO,},
		0x0a,16,0,
	},
	{
		MONSNO_AGEHANTO,
		41,0x08,
		{WAZANO_GIGADOREIN,WAZANO_MEROMERO,WAZANO_ASANOHIZASI,WAZANO_SIBIREGONA,},
		0x13,11,0,
	},
	{
		MONSNO_DOKUKEIRU,
		2,0x08,
		{WAZANO_SAIKOKINESISU,WAZANO_GINIRONOKAZE,WAZANO_TUKINOHIKARI,WAZANO_DOKUDOKU,},
		0x25,23,0,
	},
	{
		MONSNO_RUNPAPPA,
		41,0x0c,
		{WAZANO_NEKODAMASI,WAZANO_HAIDOROPONPU,WAZANO_REITOUBIIMU,WAZANO_SAWAGU,},
		0x31,17,0,
	},
	{
		MONSNO_DAATENGU,
		7,0x0c,
		{WAZANO_YATUATARI,WAZANO_GIGADOREIN,WAZANO_ITYAMON,WAZANO_IBARU,},
		0x1a,7,0,
	},
	{
		MONSNO_OOSUBAME,
		41,0x88,
		{WAZANO_SORAWOTOBU,WAZANO_GAMUSYARA,WAZANO_TUBAMEGAESI,WAZANO_DOKUDOKU,},
		0x0a,0,0,
	},
	{
		MONSNO_SAANAITO,
		13,0x4a,
		{WAZANO_SAIMINZYUTU,WAZANO_YUMEKUI,WAZANO_SAIKOKINESISU,WAZANO_KAGEBUNSIN,},
		0x38,23,0,
	},
	{
		MONSNO_KINOGASSA,
		32,0x0c,
		{WAZANO_BAKURETUPANTI,WAZANO_KOKORONOME,WAZANO_YOKODORI,WAZANO_MEGADOREIN,},
		0x0b,3,0,
	},
	{
		MONSNO_YARUKIMONO,
		24,0x04,
		{WAZANO_KIRISAKU,WAZANO_SAWAGU,WAZANO_ANKOORU,WAZANO_KARAGENKI,},
		0x0f,20,0,
	},
	{
		MONSNO_TEKKANIN,
		11,0x04,
		{WAZANO_RENZOKUGIRI,WAZANO_GIGADOREIN,WAZANO_TURUGINOMAI,WAZANO_KAGEBUNSIN,},
		0x25,22,0,
	},
	{
		MONSNO_NUKENIN,
		24,0xca,
		{WAZANO_AYASIIHIKARI,WAZANO_SOORAABIIMU,WAZANO_NIHONBARE,WAZANO_ONNEN,},
		0x3c,13,0,
	},
	{
		MONSNO_DOGOOMU,
		39,0x04,
		{WAZANO_HAIPAABOISU,WAZANO_TOOBOE,WAZANO_SYADOOBOORU,WAZANO_ITYAMON,},
		0x13,0,0,
	},
	{
		MONSNO_HARITEYAMA,
		1,0x04,
		{WAZANO_TUPPARI,WAZANO_BIRUDOAPPU,WAZANO_KAWARAWARI,WAZANO_MEZAMERUPAWAA,},
		0x26,18,0,
	},
	{
		MONSNO_HUUDHIN,
		35,0x88,
		{WAZANO_SAIKOKINESISU,WAZANO_SYADOOBOORU,WAZANO_MIRAIYOTI,WAZANO_KANASIBARI,},
		0x19,17,0,
	},
	{
		MONSNO_KUROBATTO,
		12,0x88,
		{WAZANO_AYASIIHIKARI,WAZANO_DOKUDOKU,WAZANO_KUROIMANAZASI,WAZANO_YOKODORI,},
		0x25,0,0,
	},
	{
		MONSNO_KUTIITO,
		36,0x04,
		{WAZANO_KAMIKUDAKU,WAZANO_TEPPEKI,WAZANO_USONAKI,WAZANO_DOKUDOKUNOKIBA,},
		0x12,14,0,
	},
	{
		MONSNO_BOSUGODORA,
		36,0x45,
		{WAZANO_METARUKUROO,WAZANO_KAENHOUSYA,WAZANO_KINZOKUON,WAZANO_REITOUBIIMU,},
		0x07,0,0,
	},
	{
		MONSNO_GOROONYA,
		40,0xc5,
		{WAZANO_KOROGARU,WAZANO_MARUKUNARU,WAZANO_KAGEBUNSIN,WAZANO_ZIBAKU,},
		0x03,0,0,
	},
	{
		MONSNO_RAIBORUTO,
		17,0x04,
		{WAZANO_KAMINARI,WAZANO_AMAGOI,WAZANO_DENZIHA,WAZANO_ZYUUDEN,},
		0x09,23,0,
	},
	{
		MONSNO_BARUBIITO,
		11,0x08,
		{WAZANO_AYASIIHIKARI,WAZANO_SIGUNARUBIIMU,WAZANO_TUKINOHIKARI,WAZANO_HOTARUBI,},
		0x09,6,0,
	},
	{
		MONSNO_IRUMIIZE,
		11,0x08,
		{WAZANO_10MANBORUTO,WAZANO_ODATERU,WAZANO_NEGAIGOTO,WAZANO_ANKOORU,},
		0x09,17,0,
	},
	{
		MONSNO_AMEMOOSU,
		7,0x88,
		{WAZANO_GIGADOREIN,WAZANO_GINIRONOKAZE,WAZANO_SIBIREGONA,WAZANO_DOKUDOKU,},
		0x30,14,0,
	},
	{
		MONSNO_ROZERIA,
		8,0x08,
		{WAZANO_HANABIRANOMAI,WAZANO_SEITYOU,WAZANO_KOUGOUSEI,WAZANO_KUSABUE,},
		0x11,8,0,
	},
	{
		MONSNO_ENEKORORO,
		2,0x08,
		{WAZANO_UTAU,WAZANO_MEROMERO,WAZANO_OUHUKUBINTA,WAZANO_IYASINOSUZU,},
		0x0b,10,0,
	},
	{
		MONSNO_AZUMAOU,
		22,0x88,
		{WAZANO_AMAGOI,WAZANO_NAMINORI,WAZANO_MEROMERO,WAZANO_REITOUBIIMU,},
		0x30,2,0,
	},
	{
		MONSNO_GYARADOSU,
		43,0x8c,
		{WAZANO_HAIDOROPONPU,WAZANO_ZISIN,WAZANO_RYUUNOIKARI,WAZANO_MAMORU,},
		0x11,20,0,
	},
	{
		MONSNO_MARUNOOMU,
		25,0x42,
		{WAZANO_TAKUWAERU,WAZANO_NOMIKOMU,WAZANO_HAKIDASU,WAZANO_AKUBI,},
		0x25,4,0,
	},
	{
		MONSNO_MAGUKARUGO,
		30,0x41,
		{WAZANO_IWANADARE,WAZANO_DAIMONZI,WAZANO_NOSIKAKARI,WAZANO_HIKARINOKABE,},
		0x13,1,0,
	},
	{
		MONSNO_BETOBETON,
		28,0xc3,
		{WAZANO_HEDOROBAKUDAN,WAZANO_KAENHOUSYA,WAZANO_TOKERU,WAZANO_KANASIBARI,},
		0x03,14,0,
	},
	{
		MONSNO_PATTIIRU,
		18,0x42,
		{WAZANO_PIYOPIYOPANTI,WAZANO_HURAHURADANSU,WAZANO_ZIKOANZI,WAZANO_KARAGENKI,},
		0x0b,15,0,
	},
	{
		MONSNO_TIRUTARISU,
		43,0x03,
		{WAZANO_DORAGONKUROO,WAZANO_RYUUNOIBUKI,WAZANO_RYUUNOMAI,WAZANO_RIHURESSYU,},
		0x25,19,0,
	},
	{
		MONSNO_ZANGUUSU,
		2,0x03,
		{WAZANO_BUREIKUKUROO,WAZANO_TYOUHATU,WAZANO_TURUGINOMAI,WAZANO_MIKIRI,},
		0x0b,24,0,
	},
	{
		MONSNO_HABUNEEKU,
		41,0x41,
		{WAZANO_IBARU,WAZANO_TYOUHATU,WAZANO_HEBINIRAMI,WAZANO_POIZUNTEERU,},
		0x0b,23,0,
	},
	{
		MONSNO_BUUPIGGU,
		2,0x42,
		{WAZANO_DOKUDOKU,WAZANO_TOBIHANERU,WAZANO_AYASIIHIKARI,WAZANO_MEROMERO,},
		0x09,2,0,
	},
	{
		MONSNO_NOKUTASU,
		8,0x41,
		{WAZANO_NIIDORUAAMU,WAZANO_NEWOHARU,WAZANO_MAKIBISI,WAZANO_WATAHOUSI,},
		0x25,22,0,
	},
	{
		MONSNO_NENDOORU,
		4,0x03,
		{WAZANO_ZISIN,WAZANO_SUNAARASI,WAZANO_KOSUMOPAWAA,WAZANO_DAIBAKUHATU,},
		0x25,9,0,
	},
	{
		MONSNO_DOKUKURAGE,
		37,0xc1,
		{WAZANO_HEDOROBAKUDAN,WAZANO_HAIDOROPONPU,WAZANO_BARIAA,WAZANO_TYOUONPA,},
		0x29,0,0,
	},
	{
		MONSNO_PUKURIN,
		26,0xc3,
		{WAZANO_UTAU,WAZANO_KIAIPANTI,WAZANO_KANASIBARI,WAZANO_KARAGENKI,},
		0x03,3,0,
	},
	{
		MONSNO_MARIRURI,
		12,0xc2,
		{WAZANO_NAMINORI,WAZANO_MEROMERO,WAZANO_MARUKUNARU,WAZANO_KOROGARU,},
		0x25,19,0,
	},
	{
		MONSNO_MARUMAIN,
		12,0xc3,
		{WAZANO_10MANBORUTO,WAZANO_MIRAAKOOTO,WAZANO_HIKARINOKABE,WAZANO_ZIBAKU,},
		0x2c,0,0,
	},
	{
