const	BattleTowerPokemonData	BTPD50[]={
		MONSNO_PATTIIRU,
		12,0x4a,
		{WAZANO_HURAHURADANSU,WAZANO_ZITABATA,WAZANO_ZIKOANZI,WAZANO_SUTEMITAKKURU,},
		0x09,20,0,
	},
	{
		MONSNO_HABUNEEKU,
		28,0x09,
		{WAZANO_IYANAOTO,WAZANO_HEBINIRAMI,WAZANO_ANAWOHORU,WAZANO_DOKUDOKUNOKIBA,},
		0x0c,0,0,
	},
	{
		MONSNO_HURAIGON,
		24,0x49,
		{WAZANO_SUNAKAKE,WAZANO_SUNAZIGOKU,WAZANO_KARAGENKI,WAZANO_DOKUDOKU,},
		0x05,0,0,
	},
	{
		MONSNO_MARIRURI,
		19,0x42,
		{WAZANO_BABURUKOUSEN,WAZANO_SIPPOWOHURU,WAZANO_AMAGOI,WAZANO_KOROGARU,},
		0x06,0,0,
	},
	{
		MONSNO_ZANGUUSU,
		37,0x07,
		{WAZANO_KAIRIKI,WAZANO_TYOUHATU,WAZANO_BUREIKUKUROO,WAZANO_MIKIRI,},
		0x03,0,0,
	},
	{
		MONSNO_TYAAREMU,
		34,0x07,
		{WAZANO_KISIKAISEI,WAZANO_YOGANOPOOZU,WAZANO_NENRIKI,WAZANO_KARAGENKI,},
		0x0c,11,0,
	},
	{
		MONSNO_ROZERIA,
		8,0x0a,
		{WAZANO_SEITYOU,WAZANO_MEGADOREIN,WAZANO_DOKUDOKU,WAZANO_IAIGIRI,},
		0x30,4,0,
	},
	{
		MONSNO_MARUNOOMU,
		41,0x0b,
		{WAZANO_TAKUWAERU,WAZANO_HAKIDASU,WAZANO_HEDOROKOUGEKI,WAZANO_DOKUGASU,},
		0x3e,0,0,
	},
	{
		MONSNO_REAKOIRU,
		17,0x0b,
		{WAZANO_TYOUONPA,WAZANO_DENZIHA,WAZANO_IYANAOTO,WAZANO_TORAIATAKKU,},
		0x08,0,0,
	},
	{
		MONSNO_SAANAITO,
		35,0x09,
		{WAZANO_NENRIKI,WAZANO_DOKUDOKU,WAZANO_ITYAMON,WAZANO_MAMORU,},
		0x09,5,0,
	},
	{
		MONSNO_ZIIRANSU,
		22,0x01,
		{WAZANO_NAMINORI,WAZANO_GENSINOTIKARA,WAZANO_GANSEKIHUUZI,WAZANO_KATAKUNARU,},
		0x14,10,0,
	},
	{
		MONSNO_KYUUKON,
		26,0x03,
		{WAZANO_AYASIIHIKARI,WAZANO_HONOONOUZU,WAZANO_DENKOUSEKKA,WAZANO_KAENHOUSYA,},
		0x0e,11,0,
	},
	{
		MONSNO_SAMEHADAA,
		13,0x05,
		{WAZANO_KAMITUKU,WAZANO_ROKETTOZUTUKI,WAZANO_AMAGOI,WAZANO_NAMINORI,},
		0x1a,7,0,
	},
	{
		MONSNO_KIRINRIKI,
		1,0x03,
		{WAZANO_KAIRIKI,WAZANO_SAIKEKOUSEN,WAZANO_KOUSOKUIDOU,WAZANO_ZISIN,},
		0x03,8,0,
	},
	{
		MONSNO_PERIPPAA,
		2,0x0b,
		{WAZANO_SIROIKIRI,WAZANO_TAKUWAERU,WAZANO_NOMIKOMU,WAZANO_HAKIDASU,},
		0x04,24,0,
	},
	{
		MONSNO_YAMIRAMI,
		12,0x09,
		{WAZANO_SYADOOBOORU,WAZANO_NAITOHEDDO,WAZANO_YOKODORI,WAZANO_NEKODAMASI,},
		0x12,0,0,
	},
	{
		MONSNO_RUNATOON,
		5,0x0b,
		{WAZANO_KOSUMOPAWAA,WAZANO_SUNAARASI,WAZANO_SAIKOKINESISU,WAZANO_IWAOTOSI,},
		0x0c,21,0,
	},
	{
		MONSNO_RUNPAPPA,
		0,0x0b,
		{WAZANO_DOROBOU,WAZANO_NEKODAMASI,WAZANO_NAMINORI,WAZANO_AMAGOI,},
		0x22,0,0,
	},
	{
		MONSNO_BUUPIGGU,
		48,0x0b,
		{WAZANO_KAGIWAKERU,WAZANO_AYASIIHIKARI,WAZANO_MAZIKKUKOOTO,WAZANO_SAIKOKINESISU,},
		0x0c,0,0,
	},
	{
		MONSNO_KINOGASSA,
		24,0x0b,
		{WAZANO_IAIGIRI,WAZANO_YADORIGINOTANE,WAZANO_MEGADOREIN,WAZANO_SIBIREGONA,},
		0x0c,22,0,
	},
	{
		MONSNO_HOERUOO,
		22,0x03,
		{WAZANO_SIOHUKI,WAZANO_KOROGARU,WAZANO_SIROIKIRI,WAZANO_AMAGOI,},
		0x24,21,0,
	},
	{
		MONSNO_MATADOGASU,
		28,0x05,
		{WAZANO_SUMOGGU,WAZANO_ZIBAKU,WAZANO_DOKUDOKU,WAZANO_HEDOROBAKUDAN,},
		0x0c,18,0,
	},
	{
		MONSNO_YUNGERAA,
		33,0x0b,
		{WAZANO_MIRAIYOTI,WAZANO_KIAIPANTI,WAZANO_SUKIRUSUWAPPU,WAZANO_YOKODORI,},
		0x14,23,0,
	},
	{
		MONSNO_RAIBORUTO,
		17,0x07,
		{WAZANO_DENZIHA,WAZANO_KAMITUKU,WAZANO_SUPAAKU,WAZANO_DENKOUSEKKA,},
		0x10,19,0,
	},
	{
		MONSNO_RAITYUU,
		30,0x03,
		{WAZANO_DENKOUSEKKA,WAZANO_KOUSOKUIDOU,WAZANO_HIKARINOKABE,WAZANO_10MANBORUTO,},
		0x09,17,0,
	},
	{
		MONSNO_NEITHIO,
		35,0x03,
		{WAZANO_NAITOHEDDO,WAZANO_TUTUKU,WAZANO_AYASIIHIKARI,WAZANO_MIRAIYOTI,},
		0x3c,0,0,
	},
	{
		MONSNO_DOGOOMU,
		2,0x05,
		{WAZANO_SAWAGU,WAZANO_HUMITUKE,WAZANO_IYANAOTO,WAZANO_ZISIN,},
		0x03,15,0,
	},
	{
		MONSNO_SORUROKKU,
		25,0x03,
		{WAZANO_IWAOTOSI,WAZANO_NIHONBARE,WAZANO_SOORAABIIMU,WAZANO_SUNAARASI,},
		0x0c,16,0,
	},
	{
		MONSNO_NENDOORU,
		32,0x03,
		{WAZANO_SUNAARASI,WAZANO_RIHUREKUTAA,WAZANO_GANSEKIHUUZI,WAZANO_KAIRIKI,},
		0x03,12,0,
	},
	{
		MONSNO_SIZARIGAA,
		34,0x03,
		{WAZANO_MIZUNOHADOU,WAZANO_HATAKIOTOSU,WAZANO_KATAKUNARU,WAZANO_IAIGIRI,},
		0x01,13,0,
	},
	{
		MONSNO_GORUBATTO,
		19,0x09,
		{WAZANO_AYASIIHIKARI,WAZANO_TUBASADEUTU,WAZANO_KUROIMANAZASI,WAZANO_KAMITUKU,},
		0x28,2,0,
	},
	{
		MONSNO_KIREIHANA,
		8,0x0a,
		{WAZANO_SOORAABIIMU,WAZANO_HANABIRANOMAI,WAZANO_AMAIKAORI,WAZANO_TANEMASINGAN,},
		0x3f,14,0,
	},
	{
		MONSNO_DONFAN,
		1,0x05,
		{WAZANO_IWAKUDAKI,WAZANO_KOUSOKUSUPIN,WAZANO_ZITABATA,WAZANO_TUNODETUKU,},
		0x07,8,0,
	},
	{
		MONSNO_NOZUPASU,
		7,0x0b,
		{WAZANO_SUNAARASI,WAZANO_IWANADARE,WAZANO_TOOSENBOU,WAZANO_DENZIHA,},
		0x2c,13,0,
	},
	{
		MONSNO_KAIROSU,
		4,0x05,
		{WAZANO_TURUGINOMAI,WAZANO_KATAKUNARU,WAZANO_IAIGIRI,WAZANO_TIKYUUNAGE,},
		0x0c,6,0,
	},
	{
		MONSNO_GORUDAKKU,
		32,0x0b,
		{WAZANO_KANASIBARI,WAZANO_ZIKOANZI,WAZANO_MIZUNOHADOU,WAZANO_KAWARAWARI,},
		0x1c,0,0,
	},
	{
		MONSNO_DAATENGU,
		37,0x07,
		{WAZANO_ITYAMON,WAZANO_ZINTUURIKI,WAZANO_SOORAABIIMU,WAZANO_TUBAMEGAESI,},
		0x04,14,0,
	},
	{
		MONSNO_DOKUKEIRU,
		11,0x01,
		{WAZANO_NENRIKI,WAZANO_GINIRONOKAZE,WAZANO_SAIKEKOUSEN,WAZANO_HUKITOBASI,},
		0x08,12,0,
	},
	{
		MONSNO_KAGEBOUZU,
		34,0x03,
		{WAZANO_ONIBI,WAZANO_NAITOHEDDO,WAZANO_DAMASIUTI,WAZANO_NOROI,},
		0x24,0,0,
	},
	{
		MONSNO_AZUMAOU,
		22,0x07,
		{WAZANO_AMAGOI,WAZANO_NAMINORI,WAZANO_TUNODETUKU,WAZANO_TUNODORIRU,},
		0x20,1,0,
	},
	{
		MONSNO_EAAMUDO,
		2,0x07,
		{WAZANO_HAGANENOTUBASA,WAZANO_SUNAKAKE,WAZANO_SUPIIDOSUTAA,WAZANO_KOUSOKUIDOU,},
		0x0c,7,0,
	},
	{
		MONSNO_KOOTASU,
		6,0x43,
		{WAZANO_KAENHOUSYA,WAZANO_TEPPEKI,WAZANO_NOSIKAKARI,WAZANO_MAMORU,},
		0x06,4,0,
	},
	{
		MONSNO_GOROONYA,
		40,0x05,
		{WAZANO_MAGUNITYUUDO,WAZANO_DAIBAKUHATU,WAZANO_KAIRIKI,WAZANO_SUNAARASI,},
		0x22,6,0,
	},
	{
		MONSNO_SAANAITO,
		35,0x41,
		{WAZANO_RIHUREKUTAA,WAZANO_SAIKOKINESISU,WAZANO_HUUIN,WAZANO_DOKUDOKU,},
		0x24,11,0,
	},
	{
		MONSNO_SANDOPAN,
		32,0x07,
		{WAZANO_SUNAARASI,WAZANO_KIRISAKU,WAZANO_ZISIN,WAZANO_SUPIIDOSUTAA,},
		0x24,3,0,
	},
	{
		MONSNO_SOONANSU,
		48,0x0b,
		{WAZANO_KAUNTAA,WAZANO_MIRAAKOOTO,WAZANO_SINPINOMAMORI,WAZANO_MITIDURE,},
		0x05,20,0,
	},
	{
		MONSNO_DOKUKURAGE,
		12,0x05,
		{WAZANO_KARAMITUKU,WAZANO_NAMINORI,WAZANO_HAKAIKOUSEN,WAZANO_IYANAOTO,},
		0x03,8,0,
	},
	{
		MONSNO_TOROPIUSU,
		25,0x05,
		{WAZANO_NIHONBARE,WAZANO_SOORAABIIMU,WAZANO_KOUGOUSEI,WAZANO_HAPPAKATTAA,},
		0x14,6,0,
	},
	{
		MONSNO_KUTIITO,
		36,0x43,
		{WAZANO_TEPPEKI,WAZANO_HEDOROBAKUDAN,WAZANO_KAMIKUDAKU,WAZANO_KAIRIKI,},
		0x02,20,0,
	},
	{
		MONSNO_BETOBETON,
		26,0x09,
		{WAZANO_HEDOROKOUGEKI,WAZANO_TOKERU,WAZANO_GIGADOREIN,WAZANO_KANASIBARI,},
		0x26,0,0,
	},
	{
		MONSNO_MAGUKARUGO,
		38,0x0d,
		{WAZANO_KAENHOUSYA,WAZANO_IWAOTOSI,WAZANO_KATAKUNARU,WAZANO_DOWASURE,},
		0x30,4,0,
	},
	{
		MONSNO_MASSUGUMA,
		39,0x07,
		{WAZANO_ZUTUKI,WAZANO_SIPPOWOHURU,WAZANO_NAMINORI,WAZANO_ANAWOHORU,},
		0x26,24,0,
	},
	{
		MONSNO_MARUMAIN,
		30,0x05,
		{WAZANO_HIKARINOKABE,WAZANO_10MANBORUTO,WAZANO_SUPIIDOSUTAA,WAZANO_KOROGARU,},
		0x08,12,0,
	},
	{
		MONSNO_SAMAYOORU,
		31,0x09,
		{WAZANO_KUROIMANAZASI,WAZANO_NAITOHEDDO,WAZANO_SUKIRUSUWAPPU,WAZANO_SYADOOBOORU,},
		0x29,14,0,
	},
	{
		MONSNO_RAHURESIA,
		8,0x0a,
		{WAZANO_DOKUDOKU,WAZANO_TUKINOHIKARI,WAZANO_GIGADOREIN,WAZANO_SIBIREGONA,},
		0x01,6,0,
	},
	{
		MONSNO_KUROBATTO,
		33,0x05,
		{WAZANO_KAMITUKU,WAZANO_KUROIKIRI,WAZANO_TUBASADEUTU,WAZANO_HAGANENOTUBASA,},
		0x03,10,0,
	},
	{
		MONSNO_SANIIGO,
		34,0x0a,
		{WAZANO_ZIKOSAISEI,WAZANO_MIRAAKOOTO,WAZANO_ARARE,WAZANO_NAMINORI,},
		0x0c,0,0,
	},
	{
		MONSNO_SUTAAMII,
		22,0x0b,
		{WAZANO_KOUSOKUSUPIN,WAZANO_MIZUNOHADOU,WAZANO_RIHUREKUTAA,WAZANO_SUKIRUSUWAPPU,},
		0x38,0,0,
	},
	{
		MONSNO_BAKUONGU,
		25,0x41,
		{WAZANO_HAKAIKOUSEN,WAZANO_TOOBOE,WAZANO_SAWAGU,WAZANO_ZISIN,},
		0x03,0,0,
	},
	{
		MONSNO_HUUDHIN,
		35,0x0b,
		{WAZANO_SAIKEKOUSEN,WAZANO_YOKODORI,WAZANO_RIHUREKUTAA,WAZANO_HAKAIKOUSEN,},
		0x0d,7,0,
	},
	{
		MONSNO_HERAKUROSU,
		24,0x05,
		{WAZANO_TUNODETUKU,WAZANO_KAUNTAA,WAZANO_KISIKAISEI,WAZANO_NIRAMITUKERU,},
		0x23,5,0,
	},
	{
		MONSNO_POWARUN,
		2,0x0b,
		{WAZANO_WHEZAABOORU,WAZANO_NIHONBARE,WAZANO_AMAGOI,WAZANO_ARARE,},
		0x25,9,0,
	},
	{
		MONSNO_YARUKIMONO,
		6,0x05,
		{WAZANO_KIAIPANTI,WAZANO_KISIKAISEI,WAZANO_KAUNTAA,WAZANO_TYOUHATU,},
		0x0b,0,0,
	},
	{
		MONSNO_YOMAWARU,
		32,0x09,
		{WAZANO_DOKUDOKU,WAZANO_AYASIIHIKARI,WAZANO_SYADOOBOORU,WAZANO_ONIBI,},
		0x25,0,0,
	},
	{
		MONSNO_RANTAAN,
		24,0x07,
		{WAZANO_ZITABATA,WAZANO_NAMINORI,WAZANO_SUPAAKU,WAZANO_TOSSIN,},
		0x08,22,0,
	},
	{
		MONSNO_HARITEYAMA,
		1,0x05,
		{WAZANO_KAIRIKI,WAZANO_NEKODAMASI,WAZANO_KARAGENKI,WAZANO_SUNAKAKE,},
		0x08,0,0,
	},
	{
		MONSNO_KINGUDORA,
		22,0x43,
		{WAZANO_KOUSOKUIDOU,WAZANO_DAIBINGU,WAZANO_REITOUBIIMU,WAZANO_MAMORU,},
		0x12,0,0,
	},
	{
		MONSNO_GYARADOSU,
		43,0x41,
		{WAZANO_AMAGOI,WAZANO_NAMINORI,WAZANO_MIZUNOHADOU,WAZANO_HAKAIKOUSEN,},
		0x3f,8,0,
	},
	{
		MONSNO_BOSUGODORA,
		36,0x45,
		{WAZANO_ZISIN,WAZANO_KAWARAWARI,WAZANO_METARUKUROO,WAZANO_HOERU,},
		0x0c,7,0,
	},
	{
		MONSNO_ABUSORU,
		1,0xc7,
		{WAZANO_TURUGINOMAI,WAZANO_AIANTEERU,WAZANO_KIRISAKU,WAZANO_KARAGENKI,},
		0x02,9,0,
	},
	{
		MONSNO_OOSUBAME,
		23,0x0f,
		{WAZANO_KAGEBUNSIN,WAZANO_SORAWOTOBU,WAZANO_DOKUDOKU,WAZANO_HAGANENOTUBASA,},
		0x00,11,0,
	},
	{
		MONSNO_KAIRIKII,
		14,0x05,
		{WAZANO_KAIRIKI,WAZANO_KUROSUTYOPPU,WAZANO_ZISIN,WAZANO_KAENHOUSYA,},
		0x24,11,0,
	},
	{
		MONSNO_RAGURAAZI,
		29,0x41,
		{WAZANO_MAMORU,WAZANO_REITOUBIIMU,WAZANO_HAKAIKOUSEN,WAZANO_NAMINORI,},
		0x3f,6,0,
	},
	{
		MONSNO_ZYUKAIN,
		8,0x41,
		{WAZANO_RIIHUBUREEDO,WAZANO_DORAGONKUROO,WAZANO_KOUSOKUIDOU,WAZANO_MAMORU,},
		0x3f,6,0,
	},
	{
		MONSNO_BASYAAMO,
		38,0x41,
		{WAZANO_BUREIZUKIKKU,WAZANO_OUMUGAESI,WAZANO_ZISIN,WAZANO_MAMORU,},
		0x3f,6,0,
	},
	{
		MONSNO_TIRUTARISU,
		43,0x43,
		{WAZANO_DORAGONKUROO,WAZANO_RYUUNOMAI,WAZANO_DOKUDOKU,WAZANO_KAGEBUNSIN,},
		0x03,6,0,
	},
	{
		MONSNO_RUNPAPPA,
		14,0x43,
		{WAZANO_KAWARAWARI,WAZANO_MIZUNOHADOU,WAZANO_AMAGOI,WAZANO_KIAIPANTI,},
		0x03,11,0,
	},
	{
		MONSNO_YAMIRAMI,
		31,0x49,
		{WAZANO_SYADOOBOORU,WAZANO_YOKODORI,WAZANO_ANAWOHORU,WAZANO_AYASIIHIKARI,},
		0x0c,0,0,
	},
	{
		MONSNO_ZANGUUSU,
		13,0x0f,
		{WAZANO_KARAGENKI,WAZANO_10MANBORUTO,WAZANO_BUREIKUKUROO,WAZANO_MIKIRI,},
		0x09,20,0,
	},
	{
		MONSNO_MASSUGUMA,
		4,0x0f,
		{WAZANO_AIANTEERU,WAZANO_ZUTUKI,WAZANO_MEROMERO,WAZANO_REITOUBIIMU,},
		0x06,0,0,
	},
	{
		MONSNO_NAMAZUN,
		40,0x07,
		{WAZANO_DOROKAKE,WAZANO_ZISIN,WAZANO_NAMINORI,WAZANO_DOWASURE,},
		0x29,5,0,
	},
	{
		MONSNO_SORUROKKU,
		5,0x43,
		{WAZANO_ZISIN,WAZANO_HIKARINOKABE,WAZANO_IWANADARE,WAZANO_NENRIKI,},
		0x23,18,0,
	},
	{
		MONSNO_SUTAAMII,
		32,0x03,
		{WAZANO_ZIKOSAISEI,WAZANO_AMAGOI,WAZANO_NAMINORI,WAZANO_AYASIIHIKARI,},
		0x07,14,0,
	},
	{
		MONSNO_NOKUTASU,
		25,0x0f,
		{WAZANO_NEWOHARU,WAZANO_YADORIGINOTANE,WAZANO_MAMORU,WAZANO_YATUATARI,},
		0x00,0,0,
	},
	{
		MONSNO_DAATENGU,
		6,0x05,
		{WAZANO_YATUATARI,WAZANO_HAKAIKOUSEN,WAZANO_GIGADOREIN,WAZANO_ITYAMON,},
		0x1c,3,0,
	},
	{
		MONSNO_RAIBORUTO,
		17,0x0f,
		{WAZANO_KAMINARI,WAZANO_DENZIHA,WAZANO_AIANTEERU,WAZANO_HOERU,},
		0x31,3,0,
	},
	{
		MONSNO_KAKUREON,
		32,0xc3,
		{WAZANO_10MANBORUTO,WAZANO_KIAIPANTI,WAZANO_AIANTEERU,WAZANO_KAENHOUSYA,},
		0x11,17,0,
	},
	{
		MONSNO_KAIROSU,
		40,0x8d,
		{WAZANO_HASAMIGIROTIN,WAZANO_ZIGOKUGURUMA,WAZANO_ZISIN,WAZANO_GANSEKIHUUZI,},
		0x03,0,0,
	},
	{
		MONSNO_METANGU,
		36,0x05,
		{WAZANO_ZISIN,WAZANO_SYADOOBOORU,WAZANO_SAIKOKINESISU,WAZANO_KOMETTOPANTI,},
		0x26,8,0,
	},
	{
		MONSNO_NENDOORU,
		39,0x43,
		{WAZANO_ZISIN,WAZANO_ZIBAKU,WAZANO_SUNAARASI,WAZANO_MAMORU,},
		0x07,9,0,
	},
	{
		MONSNO_AMEMOOSU,
		7,0x0a,
		{WAZANO_DOKUDOKU,WAZANO_GINIRONOKAZE,WAZANO_MEROMERO,WAZANO_REITOUBIIMU,},
		0x30,17,0,
	},
	{
		MONSNO_ZIIRANSU,
		52,0xc5,
		{WAZANO_GANSEKIHUUZI,WAZANO_SUTEMITAKKURU,WAZANO_NAMINORI,WAZANO_ZISIN,},
		0x12,0,0,
	},
	{
		MONSNO_TODOZERUGA,
		48,0x0d,
		{WAZANO_NAMINORI,WAZANO_ANKOORU,WAZANO_HUBUKI,WAZANO_HAKAIKOUSEN,},
		0x12,0,0,
	},
	{
		MONSNO_HOERUOO,
		50,0x0b,
		{WAZANO_SIOHUKI,WAZANO_NEMURU,WAZANO_DOWASURE,WAZANO_ARARE,},
		0x24,11,0,
	},
	{
		MONSNO_KIRINRIKI,
		62,0x4f,
		{WAZANO_KAGEBUNSIN,WAZANO_KAMIKUDAKU,WAZANO_SAIKOKINESISU,WAZANO_ZISIN,},
		0x0e,0,0,
	},
	{
		MONSNO_TYAAREMU,
		50,0x4b,
		{WAZANO_MEISOU,WAZANO_KISIKAISEI,WAZANO_GANSEKIHUUZI,WAZANO_SAIKOKINESISU,},
		0x3f,7,0,
	},
	{
		MONSNO_TOROPIUSU,
		37,0xc7,
		{WAZANO_ZISIN,WAZANO_KOUGOUSEI,WAZANO_HAPPAKATTAA,WAZANO_HAKAIKOUSEN,},
		0x2a,5,0,
	},
	{
		MONSNO_TEKKANIN,
		34,0x05,
		{WAZANO_KAGEBUNSIN,WAZANO_KIRISAKU,WAZANO_TURUGINOMAI,WAZANO_KYUUKETU,},
		0x23,9,0,
	},
	{
		MONSNO_BAKUUDA,
		38,0x0d,
		{WAZANO_ZISIN,WAZANO_OOBAAHIITO,WAZANO_NIHONBARE,WAZANO_IWANADARE,},
		0x31,23,0,
	},
	{
		MONSNO_SAMEHADAA,
		1,0x05,
		{WAZANO_KAMIKUDAKU,WAZANO_NAMINORI,WAZANO_ZISIN,WAZANO_MAMORU,},
		0x1a,0,0,
	},
	{
		MONSNO_PUKURIN,
		48,0x0e,
		{WAZANO_MAMORU,WAZANO_DOKUDOKU,WAZANO_KAGEBUNSIN,WAZANO_ANAWOHORU,},
		0x24,9,0,
	},
	{
		MONSNO_HABUNEEKU,
		28,0x05,
		{WAZANO_HEDOROBAKUDAN,WAZANO_KUROIKIRI,WAZANO_KAMIKUDAKU,WAZANO_KAENHOUSYA,},
		0x12,14,0,
	},
	{
		MONSNO_YUREIDORU,
		25,0xc1,
		{WAZANO_GANSEKIHUUZI,WAZANO_AYASIIHIKARI,WAZANO_NEWOHARU,WAZANO_ZISIN,},
		0x03,0,0,
	},
	{
		MONSNO_AAMARUDO,
		26,0xc1,
		{WAZANO_ZISIN,WAZANO_SUNAARASI,WAZANO_MAMORU,WAZANO_KIRISAKU,},
		0x27,0,0,
	},
	{
		MONSNO_REAKOIRU,
		7,0x0d,
		{WAZANO_DENZIHOU,WAZANO_TYOUONPA,WAZANO_DOKUDOKU,WAZANO_MAMORU,},
		0x18,3,0,
	},
	{
		MONSNO_RANTAAN,
		24,0x06,
		{WAZANO_KAMINARI,WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_AMAGOI,},
		0x14,3,0,
	},
	{
		MONSNO_MARUNOOMU,
		12,0x8b,
		{WAZANO_HEDOROBAKUDAN,WAZANO_YOKODORI,WAZANO_ANKOORU,WAZANO_NOSIKAKARI,},
		0x0a,0,0,
	},
	{
		MONSNO_EAAMUDO,
		36,0x81,
		{WAZANO_HAGANENOTUBASA,WAZANO_KOUSOKUIDOU,WAZANO_ITYAMON,WAZANO_KARAGENKI,},
		0x21,9,0,
	},
	{
		MONSNO_DONFAN,
		19,0x0d,
		{WAZANO_ZISIN,WAZANO_ZITABATA,WAZANO_HOERU,WAZANO_AIANTEERU,},
		0x21,0,0,
	},
	{
		MONSNO_HERAKUROSU,
		6,0x41,
		{WAZANO_KARAGENKI,WAZANO_KISIKAISEI,WAZANO_MEGAHOON,WAZANO_ZISIN,},
		0x06,0,0,
	},
	{
		MONSNO_ZYUPETTA,
		60,0x83,
		{WAZANO_SYADOOBOORU,WAZANO_HAKAIKOUSEN,WAZANO_10MANBORUTO,WAZANO_SUKIRUSUWAPPU,},
		0x24,23,0,
	},
	{
		MONSNO_SANDOPAN,
		32,0x0f,
		{WAZANO_SUNAARASI,WAZANO_DOKUDOKU,WAZANO_KIRISAKU,WAZANO_ZISIN,},
		0x21,9,0,
	},
	{
		MONSNO_SIZARIGAA,
		34,0x05,
